Архив,Наименование
Архивный Отдел Администрации Агаповского Муниципального Района,Областное казенное учреждение Центр занятости населения Агаповского района с. Агаповка
Архивный Отдел Администрации Агаповского Муниципального Района,Государственное бюджетное учреждение здравоохранения Районная больница с. Агаповка
Архивный Отдел Администрации Агаповского Муниципального Района,Собрание депутатов Агаповского муниципального района с. Агаповка
Архивный Отдел Администрации Агаповского Муниципального Района,Совет депутатов Агаповского сельского поселения с. Агаповка Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Совет депутатов Буранного сельского поселения п. Буранный Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Совет депутатов Желтинского сельского поселения п. Желтинский Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Совет депутатов Магнитного сельского поселения п. Магнитный Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Совет депутатов Наровчатского сельского поселения п. Наровчатка Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Совет депутатов Первомайского сельского поселения п. Первомайский Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Совет депутатов Приморского сельского поселения п. Приморский Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Совет депутатов Светлогорского сельского поселения п. Светлогорск Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Совет депутатов Черниговского сельского поселения п. Черниговский Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Совет депутатов Янгельского сельского поселения п. Янгельский Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Администрация Агаповского муниципального района с. Агаповка
Архивный Отдел Администрации Агаповского Муниципального Района,Администрация Агаповского сельского поселения с. Агаповка Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Администрация Буранного сельского поселения п. Буранный Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Администрация Желтинского сельского поселения п. Желтинский Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Администрация Магнитного сельского поселения п. Магнитный Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Администрация Наровчатского сельского поселения п. Наровчатка Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Администрация Первомайского сельского поселения п. Первомайский Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Администрация Приморского сельского поселения п. Приморский Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Администрация Светлогорского сельского поселения п. Светлогорск Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Администрация Черниговского сельского поселения п. Черниговский Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Администрация Янгельского сельского поселения п. Янгельский Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Контрольно-счетная палата Агаповского муниципального района с. Агаповка
Архивный Отдел Администрации Агаповского Муниципального Района,Управление финансов Агаповского муниципального района с. Агаповка
Архивный Отдел Администрации Агаповского Муниципального Района,Отдел экономического развития администрации Агаповского муниципального района с. Агаповка
Архивный Отдел Администрации Агаповского Муниципального Района,Управление по имуществу и земельным отношениям Агаповского муниципального района с. Агаповка
Архивный Отдел Администрации Агаповского Муниципального Района,Управление сельского хозяйства и продовольствия Агаповского муниципального района с. Агаповка
Архивный Отдел Администрации Агаповского Муниципального Района,Комитет по строительству и архитектуре администрации Агаповского муниципального района с. Агаповка
Архивный Отдел Администрации Агаповского Муниципального Района,Управление образования администрации Агаповского муниципального района с. Агаповка
Архивный Отдел Администрации Агаповского Муниципального Района,Муниципальное управление культуры администрации Агаповского муниципального района с. Агаповка
Архивный Отдел Администрации Агаповского Муниципального Района,Управление социальной защиты населения Агаповского муниципального района
Архивный Отдел Администрации Агаповского Муниципального Района,Закрытое акционерное общество Агаповское с. Агаповка Агаповского района
Архивный Отдел Администрации Агаповского Муниципального Района,Автономная некоммерческая организация Редакция газеты Звезда с. Агаповка
Архивный Отдел Администрации Аргаяшского Муниципального Района,Челябинское областное бюджетное учреждение Аргаяшский лесхоз с. Аргаяш
Архивный Отдел Администрации Аргаяшского Муниципального Района,Государственное бюджетное профессиональное образовательное учреждение Южно-Уральский агропромышленный колледж
Архивный Отдел Администрации Аргаяшского Муниципального Района,Государственное бюджетное учреждение здравоохранения Районная больница с. Аргаяш
Архивный Отдел Администрации Аргаяшского Муниципального Района,Собрание депутатов Аргаяшского муниципального района с. Аргаяш
Архивный Отдел Администрации Аргаяшского Муниципального Района,Совет депутатов Аргаяшского сельского поселения с. Аргаяш Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Совет депутатов Акбашевского сельского поселения д. Акбашева Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Совет депутатов Аязгуловского сельского поселения д. Аязгулова Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Совет депутатов Байрамгуловского сельского поселения с. Байрамгулово Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Совет депутатов Дербишевского сельского поселения д. Дербишева Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Совет депутатов Ишалинского сельского поселения п. Ишалино Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Совет депутатов Камышевского сельского поселения д. Камышевка Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Совет депутатов Кузнецкого сельского поселения с. Кузнецкое Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Совет депутатов Кулуевского сельского поселения с. Кулуево Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Совет депутатов Норкинского сельского поселения д. Норкино Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Совет депутатов Худайбердинского сельского поселения п. Худайбердинский Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Совет депутатов Яраткуловского сельского поселения д. Яраткулова Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Администрация Аргаяшского муниципального района с. Аргаяш
Архивный Отдел Администрации Аргаяшского Муниципального Района,Администрация Аргаяшского сельского поселения с. Аргаяш Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Администрация Акбашевского сельского поселения д. Акбашева Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Администрация Аязгуловского сельского поселения д. Аязгулова Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Администрация Байрамгуловского сельского поселения с. Байрамгулово Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Администрация Дербишевского сельского поселения д. Дербишева Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Администрация Ишалинского сельского поселения п. Ишалино Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Администрация Камышевского сельского поселения д. Камышевка Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Администрация Кузнецкого сельского поселения с. Кузнецкое Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Администрация Кулуевского сельского поселения с. Кулуево Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Администрация Норкинского сельского поселения д. Норкино Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Администрация Худайбердинского сельского поселения п. Худайбердинский Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Администрация Яраткуловского сельского поселения д. Яраткулова Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Контрольно — счетная комиссия Аргаяшского муниципального района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Финансовое управление Аргаяшского муниципального района с. Аргаяш
Архивный Отдел Администрации Аргаяшского Муниципального Района,Управление по экономике администрации Аргаяшского муниципального района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Комитет по управлению имуществом с. Аргаяш Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Управление образования Аргаяшского муниципального района с. Аргаяш
Архивный Отдел Администрации Аргаяшского Муниципального Района,Муниципальное бюджетное учреждение Комитет по культуре с. Аргаяш Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Управление социальной защиты населения Аргаяшского муниципального района с. Аргаяш
Архивный Отдел Администрации Аргаяшского Муниципального Района,Открытое акционерное общество Совместное хозяйствование Акбашевский с. Акбашева Аргаяшского района
Архивный Отдел Администрации Аргаяшского Муниципального Района,Автономная некоммерческая организация Объединенная редакция АРГАЯШ-МЕДИА с. Аргаяш
Архивный Отдел Администрации Аргаяшского Муниципального Района,Аргаяшский районный союз потребительских обществ с. Аргаяш
Архивный Отдел Администрации Ашинского Муниципального Района,Областное казенное учреждение Центр занятости населения г. Аши
Архивный Отдел Администрации Ашинского Муниципального Района,Государственное бюджетное учреждение здравоохранения Районная больница № 1 г. Аша
Архивный Отдел Администрации Ашинского Муниципального Района,Собрание депутатов Ашинского муниципального района г. Аша
Архивный Отдел Администрации Ашинского Муниципального Района,Совет депутатов Ашинского городского поселения г. Аша Ашинского района
Архивный Отдел Администрации Ашинского Муниципального Района,Совет депутатов Биянского сельского поселения Ашинского муниципального района Челябинской области
Архивный Отдел Администрации Ашинского Муниципального Района,Совет депутатов Кропачевского городского поселения п. Кропачево Ашинского района
Архивный Отдел Администрации Ашинского Муниципального Района,Совет депутатов Еральского сельского поселения Ашинского муниципального района Челябинской области
Архивный Отдел Администрации Ашинского Муниципального Района,Совет депутатов Миньярского городского поселения г. Миньяр Ашинского района
Архивный Отдел Администрации Ашинского Муниципального Района,Совет депутатов Илекского сельского поселения Ашинского муниципального района Челябинской области
Архивный Отдел Администрации Ашинского Муниципального Района,Совет депутатов Симского городского поселения г. Сим Ашинского района
Архивный Отдел Администрации Ашинского Муниципального Района,Совет депутатов Укского сельского поселения п. Ук Ашинского района
Архивный Отдел Администрации Ашинского Муниципального Района,Совет депутатов Точильнинского сельского поселения Ашинского муниципального района Челябинской области
Архивный Отдел Администрации Ашинского Муниципального Района,Администрация Ашинского муниципального района г. Аша
Архивный Отдел Администрации Ашинского Муниципального Района,Администрация Биянского сельского поселения с. Биянка Ашинского района
Архивный Отдел Администрации Ашинского Муниципального Района,Администрация Еральского сельского поселения с. Ерал Ашинского района
Архивный Отдел Администрации Ашинского Муниципального Района,Администрация Илекского сельского поселения с. Илек Ашинского района
Архивный Отдел Администрации Ашинского Муниципального Района,Администрация Кропачевского городского поселения п.г.т. Кропачево Ашинского района
Архивный Отдел Администрации Ашинского Муниципального Района,Администрация Миньярского городского поселения г. Миньяр Ашинского района
Архивный Отдел Администрации Ашинского Муниципального Района,Администрация Симского городского поселения г. Сим Ашинского района
Архивный Отдел Администрации Ашинского Муниципального Района,Администрация Точильнинского сельского поселения п. Точильный Ашинского района
Архивный Отдел Администрации Ашинского Муниципального Района,Администрация Укского сельского поселения п. Ук Ашинского района
Архивный Отдел Администрации Ашинского Муниципального Района,Финансовое управление администрации Ашинского муниципального района г. Аша
Архивный Отдел Администрации Ашинского Муниципального Района,Отдел экономического развития и торговли администрации Ашинского муниципального района г. Аша
Архивный Отдел Администрации Ашинского Муниципального Района,Комитет по управлению муниципальным имуществом администрации Ашинского муниципального района г. Аша
Архивный Отдел Администрации Ашинского Муниципального Района,Отдел по строительству и архитектуре администрации Ашинского муниципального района г. Аша
Архивный Отдел Администрации Ашинского Муниципального Района,Управление образованием Ашинского муниципального района г. Аша
Архивный Отдел Администрации Ашинского Муниципального Района,Управление культуры администрации Ашинского муниципального района г. Аша
Архивный Отдел Администрации Ашинского Муниципального Района,Архивный отдел администрации Ашинского муниципального района
Архивный Отдел Администрации Ашинского Муниципального Района,Управление социальной защиты населения администрации Ашинского муниципального района г. Аша
Архивный Отдел Администрации Ашинского Муниципального Района,Автономная некоммерческая организация Редакция газеты Стальная искра г. Аша
Архивный Отдел Администрации Брединского Муниципального Района,Челябинское областное бюджетное учреждение Брединский лесхоз п. Бреды
Архивный Отдел Администрации Брединского Муниципального Района,Областное казенное учреждение Центр занятости населения Брединского района п. Бреды
Архивный Отдел Администрации Брединского Муниципального Района,Государственное бюджетное учреждение здравоохранения Районная больница п. Бреды
Архивный Отдел Администрации Брединского Муниципального Района,Собрание депутатов Брединского муниципального района п. Бреды
Архивный Отдел Администрации Брединского Муниципального Района,Совет депутатов Андреевского сельского поселения п. Андреевский Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Совет депутатов Атамановского сельского поселения п. Атамановский Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Совет депутатов Белокаменского сельского поселения п. Маяк Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Совет депутатов Боровского сельского поселения с. Боровое Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Совет депутатов Брединского сельского поселения п. Бреды Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Совет депутатов Калининского сельского поселения п. Калининский Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Совет депутатов Княженского сельского поселения п. Княженский Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Совет депутатов Комсомольского сельского поселения п. Комсомольский Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Совет депутатов Наследницкого сельского поселения п. Наследницкий Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Совет депутатов Павловского сельского поселения п. Павловский Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Совет депутатов Рымникского сельского поселения п. Рымникский Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Администрация Брединского муниципального района п. Бреды
Архивный Отдел Администрации Брединского Муниципального Района,Администрация Андреевского сельского поселения п. Андреевский Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Администрация Атамановского сельского поселения п. Атамановский Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Администрация Белокаменского сельского поселения п. Маяк Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Администрация Боровского сельского поселения с. Боровое Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Администрация Брединского сельского поселения п. Бреды Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Администрация Калининского сельского поселения п. Калининский Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Администрация Княженского сельского поселения п. Княженский Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Администрация Комсомольского сельского поселения п. Комсомольский Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Администрация Наследницкого сельского поселения п. Наследницкий Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Администрация Павловского сельского поселения п. Павловский Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Администрация Рымникского сельского поселения п. Рымникский Брединского района
Архивный Отдел Администрации Брединского Муниципального Района,Контрольно – счетная палата Брединского муниципального района Челябинской области
Архивный Отдел Администрации Брединского Муниципального Района,Финансовое управление администрации Брединского муниципального района п. Бреды
Архивный Отдел Администрации Брединского Муниципального Района,Отдел экономического развития Администрации Брединского муниципального района
Архивный Отдел Администрации Брединского Муниципального Района,Отдел по аграрной политике Администрации Брединского муниципального района Челябинской области
Архивный Отдел Администрации Брединского Муниципального Района,"Муниципальное казенное учреждение Управление ЖКХ, строительства и инженерной инфраструктуры Администрации Брединского муниципального района"
Архивный Отдел Администрации Брединского Муниципального Района,Управление образования администрации Брединского муниципального района п. Бреды
Архивный Отдел Администрации Брединского Муниципального Района,Муниципальное казенное образовательное учреждение Брединская средняя общеобразовательная школа № 1 п. Бреды
Архивный Отдел Администрации Брединского Муниципального Района,"Муниципальное казенное учреждение Управление культуры, спорта и молодежной политики Администрации Брединского муниципального района Челябинской области"
Архивный Отдел Администрации Брединского Муниципального Района,Управление социальной защиты населения Брединского муниципального района п. Бреды
Архивный Отдел Администрации Брединского Муниципального Района,Автономная некоммерческая организация Редакция газеты Сельские новости п. Бреды
Архивный Отдел Администрации Варненского Муниципального Района,Областное казенное учреждение Центр занятости населения Варненского района с. Варна
Архивный Отдел Администрации Варненского Муниципального Района,Государственное бюджетное учреждение здравоохранения Районная больница с. Варна Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Собрание депутатов Варненского муниципального района с. Варна
Архивный Отдел Администрации Варненского Муниципального Района,Совет депутатов Алексеевского сельского поселения с. Алексеевка Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Совет Аятского сельского поселения п. Арчаглы-Аят Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Совет депутатов Бородиновского сельского поселения с. Бородиновка Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Совет депутатов Варненского сельского поселения с. Варна Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Совет депутатов Казановского сельского поселения п. Казановка Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Совет депутатов Катенинского сельского поселения с. Катенино Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Совет депутатов Краснооктябрьского сельского поселения  п. Красный Октябрь Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Совет депутатов Кулевчинского сельского поселения с. Кулевчи Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Совет депутатов Лейпцигского сельского поселения с. Лейпциг Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Совет депутатов Николаевского сельского поселения с. Николаевка Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Совет депутатов Новоуральского сельского поселения п. Новый Урал Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Совет депутатов Покровского сельского поселения п. Новопокровка Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Совет депутатов Толстинского сельского поселения с. Толсты Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Администрация Варненского муниципального района с. Варна
Архивный Отдел Администрации Варненского Муниципального Района,Администрация Алексеевского сельского поселения с. Алексеевка Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Администрация Аятского сельского поселения п. Арчаглы-Аят Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Администрация Бородиновского сельского поселения с. Бородиновка Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Администрация Варненского сельского поселения с. Варна Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Администрация Казановского сельского поселения п. Казановка Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Администрация Катенинского сельского поселения с. Катенино Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Администрация Краснооктябрьского сельского поселения п. Красный Октябрь Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Администрация Кулевчинского сельского поселения с. Кулевчи Варненского района
Архивный Отдел Администрации Варненского Муниципального Района,Администрация Лейпцигского сельского поселения с. Лейпциг Варненского района
