Value,Type
Архивный отдел администрации Еткульского муниципального района,text
УПРАВЛЕНИЕ СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ АДМИНИСТРАЦИИ,heading
ЕТКУЛЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА,heading
с. Еткуль Еткульского района Челябинской области,text
01 марта 2006 года -,table
Фонд №133,text
ОПИСЬ № 1 (продолжение),text
дел постоянного хранения,text
за 2021 год,text
Предисловие,text
к описи № 1 (продолжение) дел постоянного хранения,text
фонда №133 «УСЗН администрации Еткульского муниципального района»,text
за 2021 год,text
I.История фондообразователя,text
За 2021 год изменения в названии и структуре Управления не происходили. Изменения в,text
положение об Управлении не вносились.,text
II. История фонда,text
В результате упорядочения документов УСЗН администрации Еткульского,text
"муниципального района составлена опись № 1 дел постоянного хранения за 2021 год (16 ед.хр.),",text
в которую вошли следующие документы: приказы по основной деятельности; план работ,text
"УСЗН; отчет УСЗН и подведомственных учреждений; отчеты, доклады с презентациями об",text
исполнении муниципальных программ; муниципальные задания МУ «Комплексный центр,text
социального обслуживания населения» Еткульского муниципального района и отчеты об,text
исполнении муниципальных заданий; реестр учета приказов по основной деятельности;,text
бюджетная роспись и изменения к ней; бюджетные сметы и изменения к ним; штатные,text
расписания УСЗН и изменения к ним; бухгалтерский отчет; статистические отчеты; отчеты,text
отделов УСЗН.,text
"Списки реабилитированных, репрессированных, доноров и прочих категорий УСЗН",text
администрации Еткульского муниципального района не составляет. Ведутся только выплатные,text
документы по каждой категории (срок хранения- 5 лет).,text
Наименования отчетов отделов УСЗН администрации Еткульского муниципального,text
"района указаны во внутренней описи к делам (№ 287, 288, 284, 285).",text
В 2021 году по линии социальной защиты действовало 2 муниципальные программы:,text
1.Муниципальная программа «Доступная среда в Еткульском муниципальном районе на,text
2020-2022 годы (Постановление №889 от 13.12.2019 администрации Еткульского,table
муниципального района).,text
2. Муниципальная программа «Развитие социальной защиты населения в Еткульском,text
муниципальном районе» на 2020-2022 годы (Постановление №890 от 13.12.2019,table
администрации Еткульского муниципального района) включает в себя подпрограммы:,text
- Муниципальная подпрограмма «Дети Южного Урала» в Еткульском муниципальном,text
районе на 2020-2022 годы;,table
- Муниципальная подпрограмма «Повышение качества жизни граждан пожилого,text
возраста и иных категорий граждан» в Еткульском муниципальном районе на 2020-2022 годы;,text
- Муниципальная подпрограмма «Функционирование системы социального,text
обслуживания и социальной поддержки отдельных категорий граждан» в Еткульском,text
муниципальном районе на 2020-2022 годы;,text
- Муниципальная подпрограмма «Повышение эффективности государственной,text
поддержки социально ориентированных некоммерческих организаций» на 2020-2022 годы.,text
"Дела прошиты, листы дел пронумерованы, обложки дел оформлены.",text
Начальник УСЗН администрации,text
Еткульского муниципального района В.А. Буров,text
УПРАВЛЕНИЕ СОЦИАЛЬНОЙ ЗАЩИТЫ УТВЕРЖДАЮ,heading
НАСЕЛЕНИЯ АДМИНИСТРАЦИИ Начальник Управления социальной защиты,text
ЕТКУЛЬСКОГО МУНИЦИПАЛЬНОГО населения администрации Еткульского,text
РАЙОНА муниципального района,text
с. Еткуль Челябинской области _________________В.А. Буров,text
_____ ____________2024 г.,text
Фонд № 133,text
