Value,Type
Муниципальное бюджетное учреждение «Миасский окружной архив»,text
Министерство образования и науки Челябинской области,text
ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ,heading
ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ,heading
УЧРЕЖДЕНИЕ «МИАССКИЙ ГЕОЛОГОРАЗВЕДОЧНЫЙ,heading
КОЛЛЕДЖ»,text
г. Миасс Челябинской области,text
17.07.2015-,text
Фонд № 60,text
ОПИСЬ № 1 (продолжение),text
дел постоянного хранения,text
за 2022/2023учебный год,text
Дополнение к исторической справке,text
фонда №60 Государственного бюджетного профессионального,text
образовательного учреждения «Миасский геологоразведочный колледж»,text
Министерства образования и науки Челябинской области,text
1. История фондообразователя,text
Изменений в истории фондообразователя в 2022 году не произошло.,text
2. История фонда,text
В феврале 2025 года проведено упорядочение документов ГБПОУ,text
"«Миасский геологоразведочный колледж» (экспертиза, составление",text
"заголовков дел, оформление обложек, переплет), в результате которой",text
составлены описи:,text
№ 1 (продолжение) дел постоянного хранения за 2022/2023 учебный год в,text
"количестве с № 789-806, 18 ед. хр.",text
В состав описей вошли управленческие документы (приказы директора по,text
"основной деятельности, план работы и отчет по основной деятельности",text
"колледжа, бухгалтерские документы (штатное расписание, план финансово-",text
"хозяйственной деятельности колледжа, государственное задание и отчет о",text
выполнении государственного задания).,text
№ 2 (продолжение) дел по личному составу за 2022 год в количестве 31,text
"ед. хр. (приказы, карточки ф.Т-2, личные дела уволенных работников,",text
"лицевые счета по заработной плате, расчет по начисленным и уплаченным",text
страховым взносам на обязательное пенсионное страхование (форма КНД,text
"115 11 11), сведения о страховом стаже застрахованных лиц (ф. СЗВ-стаж),",text
сведения о трудовой деятельности застрахованных лиц (ф. СЗВ-ТД),text
"Дела в описях систематизированы по хронологическому принципу,",text
"внутри годового раздела – по значимости. Дела в хорошем состоянии,",text
"подшиты, пронумерованы, оформлены листы-заверители.",text
.,text
Архивариус ГБПОУ «МГРК» Н.Н. Сибагатуллина,text
14.02.2024г.,text
Список сокращений,text
ГБПОУ - Государственное бюджетное профессиональное,text
образовательное учреждение,text
МГРК - Миасский геолого-разведочный колледж,text
ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УТВЕРЖДАЮ,heading
ПРОФЕССИОНАЛЬНОЕ Директор ГБПОУ «Миасский,text
ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ геологоразведочный колледж»,text
«МИАССКИЙ,text
ГЕОЛОГОРАЗВЕДОЧНЫЙ КОЛЛЕДЖ» ____________И.Г. Лосенкова,text
«____» ____________2025 г.,text
г. Миасс Челябинской области,text
Фонд № 60,text
ОПИСЬ № 1 (продолжение),text
дел постоянного хранения,text
за 2022/2023 учебный год,table
При-,text
№ Индекс Крайние Кол-во,text
Заголовок дела меча-,text
п/п дела даты листов,text
ние,text
1 2 3 4 5 6,table
01 – АДМИНИСТРАТИВНОЕ УПРАВЛЕНИЕ,text
789 01-6 Приказы № 01-70 директора колледжа по основной 10.01.2022- 100,table
деятельности за январь- июнь 2022 года 30.06.2022,text
790 01-6 Приказы № 71-139 директора колледжа по 08.07.2022- 116,table
основной деятельности за июль-декабрь 2022 года 28.12.2022,text
791 01-6 Распоряжения №1-40 заместителя директора по 10.01.2022- 60,table
учебной и учебно-производственной работе за 2022,text
год,text
29.12.2022,text
792 02-1 Протоколы №1-7 заседаний педагогического 31.08.2022- 159,table
Совета колледжа за 2022/ 2023 учебный год 05.07.2023,table
793 02-15 Протоколы №1-10 цикловых (предметных) 15.09.2022- 121,table
комиссий за 2022/2023 учебный год 08.06.2023,table
794 02-3 План работы колледжа на 2022/2023 учебный год 2022/2023 32,table
795 02-4 План по учебно-воспитательной работе колледжа 2022/2023 26,text
на 2022/2023 учебный год,table
796 02-4 Отчет по основной деятельности колледжа за 2022/2023 52,text
2022/2023 учебный год,text
797 02-5 Отчет по учебно-воспитательной работе колледжа 2022/2023 36,text
за 2022/2023 учебный год,table
1 2 3 4 5 6,table
"798 06-06 Статистические отчеты (ф. № 1-кадры, СПО-1 2022 51",text
«Сведения о государственном образовательном,text
"учреждении, реализующем программы среднего",text
профессионального образования») за 2022 год,text
799 01-10 Акт самообследования колледжа за 2022 год 2022 46,table
800 01-13 Журнал регистрации приказов № 01-139 директора 10.01.202- 8,table
колледжа по основной деятельности за 2022 год 28.12.2022,text
05 – ОТДЕЛ КАДРОВ,text
"801 05-19 Документы (представления, анкеты, 2022 22",table
характеристики) о представлении работников,text
колледжа к награждению ведомственными,text
наградами за 2022 год,text
06 –БУХГАЛТЕРИЯ,text
802 07-1 Штатное расписание колледжа на 2022 год 2022 2,table
803 07-03 План финансово-хозяйственной деятельности 2022 3,text
колледжа на 2022 год,text
804 07-03 Государственное задание колледжа на 2022 год 2022 20,table
805 06-06 Отчет о выполнении государственного задания 2022 9,text
колледжа за 2022 год,text
806 07-3 Бухгалтерский отчет о деятельности колледжа за 2022 97,text
2022 год,text
"В данный раздел описи внесено 18 (восемнадцать) дел, с № 789 по",text
"№ 806, в том числе:",text
литерные номера: ______________________________________________,text
пропущенные номера___________________________________________,text
Архивариус ГБПОУ «МГРК» Н.Н. Сибагатуллина,text
Директор МБУ «Архив» В.А. Соколан,text
14.02.2025,text
СОГЛАСОВАНО,heading
Протокол заседания,text
ЭК ГБПОУ «МГРК»,heading
от 14.02.2025 № 1,table
