Value,Type
Архив Ашинского муниципального округа,text
ОРГАНЫ ГОСУДАРСТВЕННОЙ ВЛАСТИ CАМОЙЛОВСКОГО ГОРОДСКОГО,heading
ПОСЕЛЕНИЯ,text
АШИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА,heading
п. Ук Ашинского района Челябинской области,text
ОАФ № 15,text
ОПИСЬ № 3 (продолжение),text
дел постоянного хранения Укского сельского поселения,text
Ашинского района,text
за 2023 год,text
Пояснение,text
к ОПИСИ № 5(продолжение) дел постоянного хранения ОАФ № 9,text
администрации Укского сельского поселения Ашинского района,text
за 2022 год,text
1. История фондообразователя,text
Изменений в истории фондообразователя в 2022 году не было.,text
II. История фонда,text
Упорядочение документов администрации Укского сельского поселения,text
"проведено в феврале 2025 года, в результате чего составлена ОПИСЬ № 5",text
(продолжение) дел постоянного хранения за 2022 год в количестве 9 (девяти) дел.,text
В опись включены следующие документы:,text
"-постановления, распоряжения администрации по основной деятельности;",text
-дополнительные соглашения между администрацией Укского сельского поселения,text
и администрацией Ашинского муниципального района о передаче полномочий ;,text
- отчет главы Укского сельского поселения о проделанной работе за год;,text
-штатное расписание администрации;,text
"-бюджет, бюджетная смета расходов сельского поселения, бюджетная отчетность,",text
"- статистические отчеты по труду, объектах инфраструктуры муниципального",text
образования.,text
В опись не включены следующие документы:,text
-планы работы (не составлялись);,text
-протоколы аппаратных совещаний (совещания проводились оперативного,text
характера);,text
"-протоколы сходов и публичных слушаний, проводимые Главой (не проводились,",text
протоколы не велись);,text
- отчет по муниципальной программе «Формирование комфортной городской,text
"среды», (в 2022 году мероприятия по данной программе не проводились);",text
- реестр муниципальной собственности не утверждался.,text
Журналы регистрации постановлений и решений по основной деятельности,text
заведены в 2017 году по 2022 год .,text
"Дела в описи систематизированы по хронологическому принципу, внутри",text
"годового раздела по значимости. Дела прошиты, пронумерованы, обложки дел",text
оформлены.,text
ОРГАНЫ МЕСТНОГО САМОУПРАВЛЕНИЯ,heading
УТВЕРЖДАЮ,text
УКСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ,heading
Глава администрации Укского,text
АШИНСКОГО ГОРОДСКОГО ОКРУГА,heading
сельского поселения,text
п. Ук Ашинского района Челябинской области,text
Ашинского района,text
_____________ Г.А. Середов,text
«_____»_________ 2024 г.,text
ОАФ № 9,text
ОПИСЬ № 5 (продолжение),text
дел постоянного хранения,text
администрации Укского сельского поселения,text
Ашинского района,text
за 2022 год,text
№ Индекс Крайние Кол-во Примеча-,text
Заголовок дела,text
п/п дела даты листов ние,text
1 2 3 4 5 6,table
РУКОВОДСТВО,heading
205 01-11 Постановления администрации Укского 18.01.2022- 173,table
"сельского поселения, документы к ним за январь- 22.08.2022",text
август 2022 года,text
207 01-11 Постановления № 41-80 администрации Укского 02.09.2022- 169,table
"сельского поселения, документы к ним за 27.12.2022",text
сентябрь-декабрь 2022 года,text
208 01-12 Распоряжения с № 1-90 администрации 10.01.2022 101,table
Укского сельского поселения по основной,text
30.12.2022,text
"деятельности, документы к ним за январь —",text
декабрь 2022 года,text
209 01-07 Дополнительные соглашения № 1-11 между 2022 28,table
администрацией Укского сельского поселения и,text
администрацией Ашинского муниципального,text
района о передаче полномочий за 2022 год,text
210 01-14 Отчет о работе Главы администрации Укского 2022 3,text
сельского поселения за 2022 год,text
БУХГАЛТЕРИЯ,heading
211 03-01 Карточки -справки по начислению заработной 2022 1,text
платы работникам администрации за 2022 год,text
212 03-02 Личная карточка формы Т-2 Антонова Владимира 2022 19,text
"Ивановича, уволенного в 2021 году",text
1 2 3 4 5 6,table
213 03-05 Отчет об исполнении бюджета Укского сельского 2022 7,text
поселения и бюджетной сметы администрации за,text
2022 год,text
215 03-09 Статистический отчет: 2023 350,table
"(ф. П-4 « О численности, заработной плате и",text
движении работников»;,text
ф. № 1-МО «Сведения об объектах,text
инфраструктуры муниципального образования»;,text
ф. № 1-Т(МС) «Сведения о численности и фонде,text
"заработной платы, дополнительном",text
"профессиональном образовании, кадровом составе",text
муниципальных служащих» за 2022 год,text
"В данный раздел описи внесено 10 (десять) ед. хр. с № 206 по № 214,",text
в том числе:,text
литерные номера ____________,text
пропущенные номера _________,text
Заместитель главы Д.В. Гильманова,text
