Архив,Наименование
Архивное управление Администрации города Челябинска,АДМИНИСТРАЦИЯ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,АДМИНИСТРАЦИЯ КАЛИНИНСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,АДМИНИСТРАЦИЯ КУРЧАТОВСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,АДМИНИСТРАЦИЯ ЛЕНИНСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА г. Челябинск Челябинской области
Архивное управление Администрации города Челябинска,АДМИНИСТРАЦИЯ ЛЕНИНСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,АДМИНИСТРАЦИЯ МЕТАЛЛУРГИЧЕСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,АДМИНИСТРАЦИЯ ПОСЕЛКА НОВОСИНЕГЛАЗОВСКИЙ СОВЕТСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,АДМИНИСТРАЦИЯ ПОСЕЛКА СОСНОВКА ЦЕНТРАЛЬНОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,АДМИНИСТРАЦИЯ ПОСЕЛКА ФЕДОРОВКА СОВЕТСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,АДМИНИСТРАЦИЯ ПОСЕЛКА ШЕРШНИ ЦЕНТРАЛЬНОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,АДМИНИСТРАЦИЯ СЕЛЬСОВЕТА СМОЛИНСКИЙ СОВЕТСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,АДМИНИСТРАЦИЯ СОВЕТСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,АДМИНИСТРАЦИЯ ТРАКТОРОЗАВОДСКОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,АДМИНИСТРАЦИЯ ЦЕНТРАЛЬНОГО РАЙОНА ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,АКЦИОНЕРНОЕ ОБЩЕСТВО ЗАКРЫТОГО ТИПА «СПЕЦСТРОЙ»
Архивное управление Администрации города Челябинска,АКЦИОНЕРНОЕ ОБЩЕСТВО ОТКРЫТОГО ТИПА «ЧЕЛЯБИНСКИЙ МЕТАЛЛОШТАМПОВОЧНЫЙ ЗАВОД»
Архивное управление Администрации города Челябинска,АРЕНДНОЕ ОБЪЕДИНЕНИЕ «ЧЕЛЯБГОРПАРИКМАХЕРСКИЕ»
Архивное управление Администрации города Челябинска,АРХИВНЫЙ ОТДЕЛ АДМИНИСТРАЦИИ ГОРОДА ЧЕЛЯБИНСКА
Архивное управление Администрации города Челябинска,ГОЛОВНОЙ РАСЧЕТНОКАССОВЫЙ ЦЕНТР ГЛАВНОГО УПРАВЛЕНИЯ ЦЕНТРАЛЬНОГО БАНКА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ЧЕЛЯБИНСКОЙ ОБЛАСТИ
